dni,nombre,apellido,telefono,correo_electronico,curso_id
21867774,Marthe,Lidierth,6005210800,mlidierth0@hostgator.com,
86219392,Josephina,Chambers,8649158724,jchambers1@t.co,
95601465,Nikaniki,Mabbutt,5481044079,nmabbutt2@sphinn.com,
22004992,Darnell,Cappell,6166553241,dcappell3@pcworld.com,
83281988,Thorin,Gasker,9933558741,tgasker4@answers.com,
13818851,Sax,Cargenven,2023360713,scargenven5@technorati.com,
76327227,Nye,MacKenney,5645803843,nmackenney6@noaa.gov,
99387945,Shirlee,Bendan,8796628325,sbendan7@springer.com,
70532568,Alleyn,Greasty,2541992506,agreasty8@simplemachines.org,
26146030,Erasmus,Lyes,7856350496,elyes9@usda.gov,
44695326,Dulci,Mithan,3096664729,dmithana@photobucket.com,
45446614,Issie,MacMenamin,8178717194,imacmenaminb@umich.edu,
46552926,Robena,Lottrington,5162598473,rlottringtonc@ca.gov,
90016169,Imojean,Romeuf,5285672259,iromeufd@cisco.com,
95010555,Sharla,Levensky,6818008057,slevenskye@list-manage.com,
68896836,Amy,Housley,3805401513,ahousleyf@list-manage.com,
12074972,Lorenzo,Durante,3104217760,lduranteg@squarespace.com,
78142669,Jandy,Sprouls,8198947924,jsproulsh@omniture.com,
46007735,Carling,Biles,2134289935,cbilesi@howstuffworks.com,
95002990,Carina,Bareham,1297811084,cbarehamj@admin.ch,
35239296,Fredericka,Camacke,3599685600,fcamackek@amazon.de,
99721584,Jeanette,MacGowan,7062349107,jmacgowanl@tinyurl.com,
81075997,Nan,Tabrett,7533883043,ntabrettm@gravatar.com,
50798947,Angelia,Dukelow,9035364499,adukelown@un.org,
93384787,Georgie,Daymont,8009261228,gdaymonto@ftc.gov,
76443359,Stevena,Hugill,7224623302,shugillp@parallels.com,
55905640,Balduin,Aikett,8141545498,baikettq@answers.com,
33091957,Derry,Mengo,9434929339,dmengor@dmoz.org,
43193332,Aline,Commings,2686728542,acommingss@icq.com,
40928338,Lorant,Snedden,4988741089,lsneddent@umn.edu,
